item_no,sku,qty,description,product_family,product_type,product_dimension,ports,port_speed,poe_type,stacking,management,switch_layer,power_consumption,flash_memory,buffer_memory,throughput,latency,management_interface,network_interface,performance_tier,service_category,list_price_usd,street_price_usd,partner_price_usd,warranty_period,support_type,processor,operating_temp,storage_temp,humidity,compliance,package_contents,width,depth,height,weight_kg,availability,end_of_sale,orderability,duration,item_identifier,service_program,sheet,workbook,family,commercial_name,product_line,dimension,subscription_type,offer_type,product_name,wifi_standard,indoor_outdoor,antenna,radios,max_throughput,poe,controller_compat,eol_status,release_year
211,LIC-MS220-48FP-1YR,1,"EOS Meraki MS220-48FP Enterprise License and Support, 1YR",Switches,Meraki MS License,License,48,Multi-Gig,UPOE,No,License,L3,385,64MB,1MB,50Gbps,1.5μs,"USB, Network",48 x Multi-Gig Ethernet,Premium,CORE,1416.94,1291.682845186531,1053.86820416299,3 Years,Next Day,ARM 1.5GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",41.14,30.01,4.87,6.69,Out of Stock,EoS,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-48FP Enterprise License and Support, 1YR",,License,,,,,,,,,,,,
212,LIC-MS220-48FP-3YR,1,"EOS Meraki MS220-48FP Enterprise License and Support, 3YR",Switches,Meraki MS License,License,48,Multi-Gig,PoE+,No,License,L3,895,128MB,1MB,50Gbps,2.5μs,"USB, Network",48 x Multi-Gig Ethernet,Performance,CORE,235.82,215.806119391314,179.8872991235569,3 Years,Next Day,x86 1.0GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",33.95,35.62,1.89,2.12,Out of Stock,EoL,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-48FP Enterprise License and Support, 3YR",,License,,,,,,,,,,,,
1037,LIC-MS220-48FP-5YR,1,"EOS Meraki MS220-48FP Enterprise License and Support, 5YR",Switches,MS License,License,48,10G,PoE+,No,License,L3,720,256MB,4MB,400Gbps,2.5μs,"USB, Network",48 x 10G Ethernet,Essential,CORE,0.89,0.7816980490069936,0.7347310505225676,Lifetime,24HR,x86 1.8GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",26.99,31.46,1.34,6.18,Out of Stock,EoS,ICW-ONLY,2,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-48FP Enterprise License and Support, 5YR",,License,,,,,,,,,,,,
214,LIC-MS220-48FP-7YR,1,"EOS Meraki MS220-48FP Enterprise License and Support, 7YR",Switches,Meraki MS License,License,48,1G,PoE++,Yes,License,L3,736,64MB,1MB,100Gbps,2.0μs,"Console, Network",48 x 1G Ethernet,Premium,CORE,2.31,2.0711670984829,1.90826014204539,3 Years,NBD,x86 1.0GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",43.43,28.24,2.1,7.63,Out of Stock,EoL,ICW-ONLY,2,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-48FP Enterprise License and Support, 7YR",,License,,,,,,,,,,,,
216,LIC-MS220-48LP-10Y,1,"EOS Meraki MS220-48LP Enterprise License and Support, 10YR",Switches,Meraki MS License,License,48,1G,PoE++,No,License,L3,448,256MB,8MB,400Gbps,2.5μs,"Console, USB, Network",48 x 1G Ethernet,Essential,CORE,106.37,94.23677375854624,89.06017642441424,5 Years,24HR,ARM 1.5GHz,0 to 40°C,-40 to 70°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",23.44,28.37,1.28,3.4,Limited Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 10YR",,License,,,,,,,,,,,,
221,LIC-MS220-48LP-1D,1,EOS Meraki MS220-48LP Enterprise License and Support-1 Day,Switches,Meraki MS License,License,48,1G,PoE+,Yes,License,L3,930,128MB,2MB,100Gbps,2.5μs,"Console, USB, Network",48 x 1G Ethernet,Premium,CORE,2326.11,2057.189599731429,1674.25105762831,5 Years,Next Day,x86 1.0GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",23.94,27.82,4.72,2.66,Out of Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,EOS Meraki MS220-48LP Enterprise License and Support-1 Day,,License,,,,,,,,,,,,
1041,LIC-MS220-48LP-1YR,1,"EOS Meraki MS220-48LP Enterprise License and Support, 1YR",Switches,MS License,License,48,10G,PoE++,No,License,L3,407,64MB,8MB,200Gbps,1.5μs,"Console, Network",48 x 10G Ethernet,Essential,CORE,4674.3,4052.769555323454,3950.113142693189,5 Years,NBD,ARM 1.2GHz,0 to 40°C,-40 to 70°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",44.77,20.73,3.92,7.18,In Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 1YR",,License,,,,,,,,,,,,
218,LIC-MS220-48LP-3YR,1,"EOS Meraki MS220-48LP Enterprise License and Support, 3YR",Switches,Meraki MS License,License,48,10G,PoE+,Yes,License,L3,1078,512MB,4MB,400Gbps,2.5μs,"Console, Network",48 x 10G Ethernet,Performance,CORE,8307.98,7150.681713988792,6556.068481314998,Lifetime,Next Day,x86 1.0GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",15.87,36.53,2.09,7.27,Out of Stock,EoL,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 3YR",,License,,,,,,,,,,,,
1043,LIC-MS220-48LP-5YR,1,"EOS Meraki MS220-48LP Enterprise License and Support, 5YR",Switches,MS License,License,48,10G,PoE+,No,License,L3,1151,64MB,8MB,100Gbps,2.5μs,"Console, Network",48 x 10G Ethernet,Essential,CORE,2804.78,2512.314447347215,2227.799386909609,5 Years,Next Day,ARM 1.2GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",31.71,24.06,3.93,2.22,Limited Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 5YR",,License,,,,,,,,,,,,
220,LIC-MS220-48LP-7YR,1,"EOS Meraki MS220-48LP Enterprise License and Support, 7YR",Switches,Meraki MS License,License,48,1G,UPOE,Yes,License,L3,1080,128MB,8MB,400Gbps,1.5μs,"USB, Network",48 x 1G Ethernet,Performance,CORE,1759.14,1552.70030060322,1491.07878330204,1 Year,Next Day,x86 1.0GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",16.72,29.23,2.07,6,Limited Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-48LP Enterprise License and Support, 7YR",,License,,,,,,,,,,,,
222,LIC-MS220-8-10YR,1,"EOS Meraki MS220-8 Enterprise License and Support, 10YR",Switches,Meraki MS License,License,8,1G,,No,License,L3,1076,256MB,1MB,400Gbps,2.5μs,"Console, USB, Network",8 x 1G Ethernet,Performance,CORE,514.8,488.0490557992877,418.60805404147,Lifetime,NBD,ARM 1.5GHz,0 to 40°C,-40 to 70°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",26.27,26.08,2.9,11.36,Out of Stock,EoS,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8 Enterprise License and Support, 10YR",,License,,,,,,,,,,,,
227,LIC-MS220-8-1D,1,EOS Meraki MS220-8 Enterprise License and Support-1 Day,Switches,Meraki MS License,License,8,Multi-Gig,,No,License,L3,1047,256MB,1MB,400Gbps,3.0μs,"Console, Network",8 x Multi-Gig Ethernet,Essential,CORE,436.52,413.1795316393244,344.510201366756,Lifetime,Next Day,x86 1.8GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",37.89,33,1.64,13.85,Limited Stock,Active,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,EOS Meraki MS220-8 Enterprise License and Support-1 Day,,License,,,,,,,,,,,,
1047,LIC-MS220-8-1YR,1,"EOS Meraki MS220-8 Enterprise License and Support, 1YR",Switches,MS License,License,8,1G,,Yes,License,L3,953,512MB,4MB,200Gbps,1.5μs,"USB, Network",8 x 1G Ethernet,Performance,CORE,489.71,431.4926314177692,379.8712597191745,5 Years,24HR,ARM 1.2GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",24.38,23.46,1.72,14.81,Limited Stock,EoS,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8 Enterprise License and Support, 1YR",,License,,,,,,,,,,,,
224,LIC-MS220-8-3YR,1,"EOS Meraki MS220-8 Enterprise License and Support, 3YR",Switches,Meraki MS License,License,8,10G,,No,License,L3,366,256MB,4MB,50Gbps,2.5μs,"Console, USB, Network",8 x 10G Ethernet,Essential,CORE,1949.8,1846.260092749913,1512.098724637859,Lifetime,NBD,x86 1.0GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",26.86,36.23,3.64,6.34,Limited Stock,EoL,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8 Enterprise License and Support, 3YR",,License,,,,,,,,,,,,
1049,LIC-MS220-8-5YR,1,"EOS Meraki MS220-8 Enterprise License and Support, 5YR",Switches,MS License,License,8,10G,,Yes,License,L3,353,128MB,1MB,50Gbps,2.0μs,"Console, USB, Network",8 x 10G Ethernet,Premium,CORE,3653.74,3434.705230659772,2682.410725784108,5 Years,Next Day,x86 1.8GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",35.38,33.05,2.46,8.06,In Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8 Enterprise License and Support, 5YR",,License,,,,,,,,,,,,
1050,LIC-MS220-8-7YR,1,"EOS Meraki MS220-8 Enterprise License and Support, 7YR",Switches,MS License,License,8,10G,,No,License,L3,655,512MB,4MB,100Gbps,2.5μs,"USB, Network",8 x 10G Ethernet,Essential,CORE,8029.0,7503.192814811179,6358.123952131747,3 Years,4HR,ARM 1.5GHz,-5 to 45°C,-40 to 70°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",29.88,36.16,4.84,11.41,In Stock,EoS,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8 Enterprise License and Support, 7YR",,License,,,,,,,,,,,,
228,LIC-MS220-8P-10YR,1,"EOS Meraki MS220-8P Enterprise License and Support, 10YR",Switches,Meraki MS License,License,8,1G,PoE++,Yes,License,L3,73,128MB,1MB,50Gbps,2.0μs,"USB, Network",8 x 1G Ethernet,Premium,CORE,1464.11,1288.507277511584,1190.909566058067,5 Years,NBD,ARM 1.5GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",23.14,30.77,4.7,8.17,Out of Stock,EoL,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8P Enterprise License and Support, 10YR",,License,,,,,,,,,,,,
233,LIC-MS220-8P-1D,1,EOS Meraki MS220-8P Enterprise License and Support-1 Day,Switches,Meraki MS License,License,8,10G,PoE++,Yes,License,L3,1012,64MB,8MB,400Gbps,1.5μs,"Console, Network",8 x 10G Ethernet,Premium,CORE,2483.66,2142.159890314323,2045.054944577262,5 Years,4HR,x86 1.8GHz,-5 to 45°C,-40 to 70°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",32.59,20.55,1.32,14.81,In Stock,Active,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,EOS Meraki MS220-8P Enterprise License and Support-1 Day,,License,,,,,,,,,,,,
229,LIC-MS220-8P-1YR,1,"EOS Meraki MS220-8P Enterprise License and Support, 1YR",Switches,Meraki MS License,License,8,10G,PoE++,No,License,L3,964,64MB,4MB,400Gbps,2.0μs,"Console, USB, Network",8 x 10G Ethernet,Premium,CORE,7438.95,6959.325062125512,6152.638301328614,3 Years,4HR,x86 1.8GHz,-5 to 45°C,-40 to 70°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",19.96,20.72,2.35,12.94,In Stock,EoL,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8P Enterprise License and Support, 1YR",,License,,,,,,,,,,,,
230,LIC-MS220-8P-3YR,1,"EOS Meraki MS220-8P Enterprise License and Support, 3YR",Switches,Meraki MS License,License,8,1G,UPOE,No,License,L3,1047,64MB,8MB,200Gbps,1.5μs,"Console, USB, Network",8 x 1G Ethernet,Premium,CORE,2750.59,2487.494874079774,2158.886558374673,5 Years,Next Day,x86 1.0GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",26.13,35.27,3.28,14.38,Out of Stock,EoS,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8P Enterprise License and Support, 3YR",,License,,,,,,,,,,,,
231,LIC-MS220-8P-5YR,1,"EOS Meraki MS220-8P Enterprise License and Support, 5YR",Switches,Meraki MS License,License,8,1G,PoE+,No,License,L3,81,128MB,4MB,100Gbps,1.5μs,"Console, USB, Network",8 x 1G Ethernet,Performance,CORE,3746.07,3502.533811729251,2896.551823893669,Lifetime,NBD,ARM 1.5GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",18.3,21.67,2.61,12.91,Limited Stock,EoS,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8P Enterprise License and Support, 5YR",,License,,,,,,,,,,,,
1056,LIC-MS220-8P-7YR,1,"EOS Meraki MS220-8P Enterprise License and Support, 7YR",Switches,MS License,License,8,10G,PoE+,No,License,L3,306,128MB,1MB,100Gbps,3.0μs,"USB, Network",8 x 10G Ethernet,Essential,CORE,3645.72,3123.568043118131,3057.099304784889,1 Year,NBD,x86 1.0GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",36.11,39.93,1.19,10.75,Out of Stock,EoS,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"EOS Meraki MS220-8P Enterprise License and Support, 7YR",,License,,,,,,,,,,,,
646,LIC-MS225-24-10YR,1,"Meraki MS225-24 Enterprise License and Support, 10YR",Switches,Meraki MS License,License,24,Multi-Gig,,Yes,License,L3,494,64MB,8MB,100Gbps,1.5μs,"USB, Network",24 x Multi-Gig Ethernet,Premium,CORE,7192.79,6568.153550233866,5299.843629524183,3 Years,NBD,ARM 1.5GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",33.69,39.75,1.98,9.48,Limited Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24 Enterprise License and Support, 10YR",,License,,,,,,,,,,,,
651,LIC-MS225-24-1D,1,Meraki MS225-24 Enterprise License and Support-1 Day,Switches,Meraki MS License,License,24,1G,,No,License,L3,374,128MB,4MB,200Gbps,1.5μs,"Console, Network",24 x 1G Ethernet,Essential,CORE,12550.44,11677.28929969796,10218.48476956336,5 Years,Next Day,ARM 1.5GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",41.37,29.61,3.92,8.32,In Stock,EoS,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,Meraki MS225-24 Enterprise License and Support-1 Day,,License,,,,,,,,,,,,
647,LIC-MS225-24-1YR,1,"Meraki MS225-24 Enterprise License and Support, 1YR",Switches,Meraki MS License,License,24,10G,,No,License,L3,954,64MB,1MB,50Gbps,2.5μs,"Console, USB, Network",24 x 10G Ethernet,Essential,CORE,2247.18,2120.064666462763,1666.076975813059,3 Years,24HR,ARM 1.5GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",39.15,21,3.6,4.55,Limited Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24 Enterprise License and Support, 1YR",,License,,,,,,,,,,,,
648,LIC-MS225-24-3YR,1,"Meraki MS225-24 Enterprise License and Support, 3YR",Switches,Meraki MS License,License,24,10G,,No,License,L3,507,512MB,8MB,400Gbps,3.0μs,"Console, Network",24 x 10G Ethernet,Essential,CORE,9290.22,8726.198579436388,7877.232035159516,Lifetime,NBD,ARM 1.2GHz,0 to 50°C,-40 to 70°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",39.29,29.83,2.59,8.05,In Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24 Enterprise License and Support, 3YR",,License,,,,,,,,,,,,
1472,LIC-MS225-24-5YR,1,"Meraki MS225-24 Enterprise License and Support, 5YR",Switches,MS License,License,24,Multi-Gig,,Yes,License,L3,214,512MB,1MB,50Gbps,2.5μs,"Console, Network",24 x Multi-Gig Ethernet,Premium,CORE,3731.06,3174.210575063637,3011.760174158414,Lifetime,4HR,ARM 1.2GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",40.21,30.83,2.42,12.7,In Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24 Enterprise License and Support, 5YR",,License,,,,,,,,,,,,
1473,LIC-MS225-24-7YR,1,"Meraki MS225-24 Enterprise License and Support, 7YR",Switches,MS License,License,24,Multi-Gig,,No,License,L3,306,256MB,4MB,100Gbps,1.5μs,"Console, Network",24 x Multi-Gig Ethernet,Essential,CORE,1048.97,984.8105269844057,856.6925016547993,1 Year,24HR,x86 1.8GHz,-5 to 45°C,-40 to 85°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",32.31,39.67,4.94,7.1,Limited Stock,EoL,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24 Enterprise License and Support, 7YR",,License,,,,,,,,,,,,
1475,LIC-MS225-24P-10YR,1,"Meraki MS225-24P Enterprise License and Support, 10YR",Switches,MS License,License,24,1G,PoE+,Yes,License,L3,681,512MB,4MB,200Gbps,2.0μs,"Console, USB, Network",24 x 1G Ethernet,Premium,CORE,847.97,735.7394651021733,623.3767473810742,Lifetime,Next Day,ARM 1.2GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",17.41,39.44,4.1,12.14,Out of Stock,EoS,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24P Enterprise License and Support, 10YR",,License,,,,,,,,,,,,
657,LIC-MS225-24P-1D,1,Meraki MS225-24P Enterprise License and Support-1 Day,Switches,Meraki MS License,License,24,1G,UPOE,Yes,License,L3,886,256MB,1MB,400Gbps,2.5μs,"Console, Network",24 x 1G Ethernet,Premium,CORE,29572.13,26768.55702904944,23220.63388507092,1 Year,NBD,x86 1.0GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",37.95,30.57,3.09,3.64,Out of Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,Meraki MS225-24P Enterprise License and Support-1 Day,,License,,,,,,,,,,,,
653,LIC-MS225-24P-1YR,1,"Meraki MS225-24P Enterprise License and Support, 1YR",Switches,Meraki MS License,License,24,10G,PoE++,Yes,License,L3,764,512MB,8MB,200Gbps,1.5μs,"Console, USB, Network",24 x 10G Ethernet,Performance,CORE,14952.39,12898.50384814071,12229.09685036297,1 Year,4HR,ARM 1.2GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",22.99,23.68,1.02,8.54,Limited Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24P Enterprise License and Support, 1YR",,License,,,,,,,,,,,,
654,LIC-MS225-24P-3YR,1,"Meraki MS225-24P Enterprise License and Support, 3YR",Switches,Meraki MS License,License,24,Multi-Gig,PoE++,Yes,License,L3,128,512MB,2MB,100Gbps,2.5μs,"USB, Network",24 x Multi-Gig Ethernet,Performance,CORE,16121.21,14735.8290057911,11659.46773877999,Lifetime,4HR,ARM 1.2GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",43.73,22.89,4.27,3.08,Out of Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24P Enterprise License and Support, 3YR",,License,,,,,,,,,,,,
1478,LIC-MS225-24P-5YR,1,"Meraki MS225-24P Enterprise License and Support, 5YR",Switches,MS License,License,24,1G,PoE++,No,License,L3,929,64MB,2MB,50Gbps,1.5μs,"Console, Network",24 x 1G Ethernet,Essential,CORE,1401.98,1261.767938292155,1080.462550859532,Lifetime,4HR,ARM 1.5GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",22.27,27.54,4.67,3.36,In Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24P Enterprise License and Support, 5YR",,License,,,,,,,,,,,,
656,LIC-MS225-24P-7YR,1,"Meraki MS225-24P Enterprise License and Support, 7YR",Switches,Meraki MS License,License,24,10G,PoE++,No,License,L3,489,512MB,1MB,100Gbps,2.5μs,"Console, USB, Network",24 x 10G Ethernet,Performance,CORE,12271.05,10613.35559068521,9401.375478990722,3 Years,24HR,x86 1.0GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",19.09,22.06,2.03,13.27,In Stock,EoS,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-24P Enterprise License and Support, 7YR",,License,,,,,,,,,,,,
658,LIC-MS225-48-10YR,1,"Meraki MS225-48 Enterprise License and Support, 10YR",Switches,Meraki MS License,License,48,10G,,Yes,License,L3,1088,128MB,4MB,100Gbps,2.5μs,"USB, Network",48 x 10G Ethernet,Performance,CORE,6583.76,6087.469545792834,4828.198179364885,5 Years,NBD,x86 1.8GHz,-5 to 45°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",37.9,36.31,1.08,7.15,In Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-48 Enterprise License and Support, 10YR",,License,,,,,,,,,,,,
663,LIC-MS225-48-1D,1,Meraki MS225-48 Enterprise License and Support-1 Day,Switches,Meraki MS License,License,48,10G,,No,License,L3,945,128MB,1MB,50Gbps,2.0μs,"USB, Network",48 x 10G Ethernet,Premium,CORE,9415.85,8569.928986432451,6881.693742527073,3 Years,NBD,ARM 1.2GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",23.02,35.9,4.88,12.92,Out of Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,Meraki MS225-48 Enterprise License and Support-1 Day,,License,,,,,,,,,,,,
1482,LIC-MS225-48-1YR,1,"Meraki MS225-48 Enterprise License and Support, 1YR",Switches,MS License,License,48,1G,,Yes,License,L3,916,512MB,8MB,100Gbps,2.5μs,"Console, Network",48 x 1G Ethernet,Essential,CORE,11316.3,10323.72709114545,8076.26644889955,5 Years,NBD,ARM 1.5GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",38.38,20.49,4.8,6.53,Limited Stock,EoS,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-48 Enterprise License and Support, 1YR",,License,,,,,,,,,,,,
660,LIC-MS225-48-3YR,1,"Meraki MS225-48 Enterprise License and Support, 3YR",Switches,Meraki MS License,License,48,1G,,Yes,License,L3,984,64MB,4MB,400Gbps,3.0μs,"USB, Network",48 x 1G Ethernet,Premium,CORE,11028.87,9762.450642767673,9317.08110364195,1 Year,24HR,ARM 1.2GHz,0 to 50°C,-40 to 70°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",38.54,28.64,3.13,14.9,Limited Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki MS225-48 Enterprise License and Support, 3YR",,License,,,,,,,,,,,,
